Unique_ID	Number_Friends
1	0
2	0
3	0
4	1
5	1
6	2
7	3
8	8
9	8
10	8
11	11
12	12
13	12
14	13
15	13
16	16
17	18
18	18
19	20
20	21
21	23
22	31
23	33
24	37
25	39
26	41
27	41
28	43
29	44
30	45
31	48
32	50
33	56
34	60
35	62
36	65
37	66
38	70
39	74
40	75
41	75
42	76
43	76
44	77
45	81
46	83
47	84
48	90
49	91
50	92
51	93
52	96
53	97
54	99
55	102
56	106
57	107
58	109
59	116
60	124
61	127
62	127
63	141
64	144
65	148
66	148
67	151
68	166
69	170
70	170
71	172
72	180
73	185
74	187
75	191
76	191
77	208
78	209
79	219
80	246
81	247
82	249
83	254
84	266
85	266
86	269
87	277
88	279
89	282
90	288
91	293
92	301
93	309
94	335
95	338
96	339
97	345
98	370
99	373
100	401
101	405
102	407
103	408
104	414
105	423
106	436
107	447
108	464
109	479
110	486
111	491
112	507
113	512
114	517
115	539
116	539
117	587
118	601
119	603
120	621
121	630
122	657
123	657
124	664
125	667
126	677
127	716
128	825
129	874
130	882
131	925
132	943
133	970
134	983
135	1028
136	1032
137	1058
138	1063
139	1063
140	1090
141	1193
142	1274
143	1276
144	1307
145	1315
146	1458
147	1505
148	1968
149	2155
150	2823
151	3883
