Blog	years	most	than	make	into	would	today	two	his	don	day	because	had	see	any	many	post	way	these	still	use	know	then	read	back	work	take	were	only	well	want	much	world	also	video	year	while	need	last	could	best	week	those	made	may	before	too	why	very	right	even	something	think	being	around	going	down	google	through	should	things	where	good	free	next	off	might	top	said	using	same	every	few	between	look	long	got	great	better	news	story	her	big	used	little	online	internet	full	days	always	media	since	help	show	really	ever	three	working	company	times	live	real	doesn	own	say	life	site	lot	part	social	business	him	find	called	making	sure	without	let	email	thing	old	ago	different	come	blog	app	play	change	keep	never	end	friends	hard	does	both	did	makes	start	users	future	number	high	comes	buy	though	easy	actually	twitter	art	music	another	links	each	available	data	information	set	com	she	reading	everyone	money	instead	bad	left	says	didn	small	thanksgiving	web	including	home	yet	point	case	list	love	stop	black	recently	support	open	found	try	game	talk	almost	check	second	such	less	content	getting	book	away	night	month	during	isn	nbsp	holiday	already	looking	family	man	public	report	once	via	doing	told	early	bit	often	york	service	past	interesting	coming	later	however	friday	million	line	run	give	continue	means	based	page	everything	until	youtube	able	finally	far	process	stuff	deal	again	turn	happy	whole	recent	comments	space	digital	behind	idea	design	four	feature	done	least	under	course	quite	major	group	share	earlier	technology	problem	put	enough	short	store	team	community	anything	link	together	shows	feel	click	search	fact	months	important	add	place	nothing	whether	power	probably	house	phone	writing	hit	update	american	images	version	original	trying	pretty	won	questions	videos	several	example	project	having	system	government	started	weeks	website	must	simple	watch	along	five	network	mobile	facebook	control	went	itself	thought	changes	women	november	needs	call	image	hours	science	else	tell	create	program	fast	city	takes	latest	features	anyone	favorite	order	white	ways	view	photos	couple	become	thanks	guide	lost	across	school	released	action	customers	results	remember	article	user	software	according	minutes	took	amp	likely	photo	launch	against	either	believe	key	below	asked	san	side	tools	added	state	build	experience	sometimes	product	close	goes	local	press	president	person	seems	above	pay	secret	hand	head	someone	series	came	awesome	large	posted	face	android	reason	step	decided	single	amazon	known	six	gets	chance	running	please	text	following	wants	former	places	worth	cost	non	tuesday	yes	sites	services	access	level	platform	rather	kind	include	name	possible	hope	voice	question	starting	understand	national	value	tool	hear	apps	screen	owners	microsoft	move	interview	terms	happen	care	price	stories	human	film	taking	cool	given	creating	related	reports	review	device	marketing	write	yourself	building	mark	others	tech	saying	originally	books	john	america	learned	popular	party	personal	weekend	performance	entire	wrote	ability	wasn	industry	obama	david	half	written	companies	points	appeared	maybe	spent	center	reasons	due	drive	rest	items
The Superficial - Because You're Ugly	2	3	0	5	3	2	0	3	13	1	6	22	3	4	1	0	2	2	3	7	0	7	4	35	5	2	3	1	6	1	4	1	0	5	1	1	4	2	5	2	1	5	0	6	1	2	1	6	2	3	2	2	1	2	0	5	1	0	0	4	2	3	6	0	2	5	0	0	5	0	1	0	2	2	4	1	7	1	0	6	0	20	1	0	1	1	7	0	1	1	0	2	0	3	3	2	1	1	0	1	1	2	6	2	3	0	2	0	1	0	0	4	0	1	5	2	0	6	0	1	1	1	0	2	0	0	0	1	3	4	0	0	0	1	1	2	1	2	0	0	0	4	0	1	0	0	2	0	0	4	1	0	0	0	0	0	0	0	12	0	3	2	1	0	0	4	5	0	2	0	0	0	0	2	2	1	4	1	1	0	0	0	1	2	0	4	2	1	0	0	3	0	1	0	0	4	0	1	2	0	2	0	0	2	4	0	0	1	1	2	3	1	0	0	1	0	0	1	1	1	0	2	0	0	0	0	1	1	0	0	1	4	0	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	3	1	2	0	0	2	2	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	4	0	0	0	1	0	4	0	0	0	0	0	5	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	1	1	0	1	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	3	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	0	0	0	0	0	0	1	1	1	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	3	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0
Wonkette	1	0	0	0	0	0	0	1	2	0	1	1	1	1	0	0	3	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	1	0	1	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Publishing 2.0	2	13	3	5	1	2	5	3	4	6	0	5	5	2	3	6	9	4	5	3	2	2	2	1	1	2	1	0	1	1	2	3	2	1	0	1	3	2	4	8	3	5	2	1	3	0	2	9	2	6	0	0	2	2	4	3	2	9	5	4	1	4	1	2	2	1	1	1	1	2	0	2	4	0	0	2	3	6	0	56	4	0	4	2	0	9	4	5	3	0	13	2	2	1	0	0	3	0	3	4	0	0	1	2	1	0	9	3	0	1	7	0	1	3	3	1	1	1	1	1	1	1	0	1	6	0	1	1	1	0	2	0	1	0	2	0	0	2	1	21	2	2	2	0	1	1	0	6	0	0	0	7	1	0	1	3	2	10	0	8	2	3	1	0	2	0	0	0	0	22	0	0	1	0	2	0	0	1	0	1	1	3	1	0	2	1	1	0	1	0	1	14	0	2	1	0	0	0	2	0	0	1	1	0	0	0	2	0	0	3	0	0	1	2	5	1	0	2	0	0	0	0	1	0	0	0	2	1	1	12	3	0	3	0	1	0	0	1	0	0	0	0	0	3	0	2	2	1	1	0	0	6	0	1	0	1	1	2	0	1	1	4	1	3	3	0	0	1	0	0	12	1	1	0	0	1	1	1	7	0	0	1	1	1	0	1	0	1	0	1	0	0	0	2	2	0	1	1	0	1	2	2	0	0	1	1	1	0	0	2	0	1	1	2	0	5	2	0	0	0	1	0	0	3	0	0	0	0	0	1	1	2	5	1	0	0	2	3	0	0	0	0	0	0	0	4	0	0	0	1	0	0	2	0	1	0	5	2	0	1	0	0	0	0	1	3	0	0	1	0	1	1	0	0	1	1	2	0	0	1	1	0	1	3	3	1	0	1	0	1	0	0	3	1	0	0	2	0	2	0	0	1	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	5	1	0	1	2	2	5	1	1	0	2	0	4	0	1	1	7	0	0	0	1	0	0	0	0	2	4	2	0	9	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	8	1	2	0	0	0	2	1	0	0	0
Eschaton	0	1	6	0	0	3	2	0	1	4	2	3	1	0	3	1	0	2	0	2	0	3	1	1	0	0	3	0	2	0	3	2	2	1	0	0	0	0	1	0	0	2	3	1	0	0	6	3	1	0	2	1	3	1	0	2	0	0	1	6	3	0	4	1	0	1	1	0	4	0	0	0	2	2	0	1	0	0	2	0	2	0	1	0	2	0	0	0	1	0	0	1	0	1	1	2	0	0	0	1	4	0	2	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	1	1	0	0	0	2	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	2	1	2	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	7	0	0	0	0	3	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0
we make money not art	1	2	1	1	0	3	2	1	1	0	0	1	1	2	0	3	2	0	3	0	2	3	1	0	0	9	1	0	3	4	0	0	4	3	2	0	0	0	1	0	0	0	0	2	0	1	0	1	1	1	2	0	1	1	1	2	0	0	4	0	0	5	0	3	0	0	1	0	0	2	0	0	1	3	0	4	0	2	2	2	2	1	1	1	0	0	0	0	1	0	0	1	0	4	2	0	0	3	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	0	2	1	0	1	1	1	0	0	3	3	2	1	0	2	0	0	0	0	2	0	0	1	0	1	0	2	1	0	0	1	2	0	15	0	1	7	3	1	0	0	0	2	1	0	0	4	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	3	0	2	3	0	0	1	1	0	0	0	1	0	1	0	2	0	0	1	0	1	0	0	0	0	0	3	3	0	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	15	1	2	0	2	0	0	0	1	2	2	0	0	1	1	0	0	0	0	1	2	0	0	3	0	0	0	1	0	1	0	0	1	1	0	3	0	0	1	0	0	0	3	0	0	1	1	0	0	0	0	0	1	1	2	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	3	0	0	4	2	0	1	0	0	0	1	0	1	2	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	3	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0
Joho the Blog	0	0	0	1	0	0	1	0	2	0	1	1	3	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	0	0	1	1	0	0	0	1	2	0	0	0	2	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	7	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	1	0	0	0	0	0	0
Neil Gaiman's Journal	12	17	17	27	21	33	11	22	53	15	35	22	55	29	26	22	6	11	11	17	5	18	50	33	29	15	7	45	23	19	33	26	26	32	12	13	12	8	59	12	19	17	5	29	24	20	15	19	25	19	13	10	21	17	12	31	12	3	12	27	46	31	30	5	18	20	10	1	23	2	11	10	17	10	14	14	27	12	6	5	16	39	7	3	6	6	2	6	20	9	0	15	11	23	28	19	12	5	1	8	19	8	5	4	10	13	2	16	7	0	0	22	12	9	7	7	8	4	3	21	18	11	14	23	18	0	2	2	10	20	69	12	6	7	9	24	9	8	0	11	3	8	5	4	4	3	17	32	27	14	9	3	20	9	0	8	2	102	45	20	6	2	9	3	7	5	18	5	0	2	10	11	15	3	2	5	11	2	5	1	0	0	9	2	2	13	9	2	3	14	5	2	5	83	3	42	9	2	4	413	2	5	4	13	8	4	0	4	3	15	13	9	18	0	11	2	6	1	11	8	4	7	1	4	0	7	0	4	3	7	14	10	1	4	6	6	2	12	2	14	1	8	15	1	1	7	7	1	3	0	7	4	13	5	2	5	5	1	2	4	3	0	3	16	5	7	11	0	0	7	15	6	3	3	5	0	0	2	6	1	7	8	1	1	11	14	3	21	3	2	3	4	4	8	0	8	6	11	3	5	3	6	7	0	0	17	7	27	5	3	13	6	2	0	1	32	3	22	0	14	0	1	8	2	2	0	8	6	3	16	0	0	4	2	1	0	5	3	1	18	3	0	1	6	9	2	1	4	3	3	7	6	0	0	0	4	1	0	2	0	3	9	29	1	9	0	1	3	1	0	1	11	8	1	0	2	0	1	1	7	0	3	2	4	3	0	5	1	2	2	2	7	7	8	3	12	0	2	26	3	0	2	0	3	0	4	3	5	0	3	0	6	2	4	0	1	6	2	4	0	9	8	1	0	0	2	0	0	8	4	4	7	4	4	3	2	0	2	0	0	5	1	2	0	0	2	9	0	5	1	2	21	4	15	2	1	2	1	0	0	11	0	0	10	0	2	1	0	0	1	1	62	12	0	4	1	1	2	4	4	2	11	1	4	2	0	3	7	12	0	1	1	0	7	3	0	2	0	5	1
Signal vs. Noise	3	5	5	11	5	6	0	5	1	13	9	13	6	12	6	2	1	6	6	7	11	6	6	1	4	24	2	6	4	9	11	2	3	4	2	5	6	2	3	6	2	1	7	6	2	1	3	6	5	0	1	6	7	2	3	6	2	4	3	2	6	9	11	2	1	5	3	3	4	4	1	10	9	4	6	4	3	5	2	2	1	0	4	2	3	1	0	3	5	2	0	2	3	2	2	0	5	12	8	6	1	5	5	3	4	3	2	5	5	0	4	1	1	2	3	2	0	6	4	6	1	2	3	3	0	0	0	1	2	3	4	1	1	5	0	0	0	3	1	1	2	1	3	1	1	3	5	0	2	1	0	0	7	3	3	2	5	0	0	1	14	0	1	3	1	3	2	2	0	1	0	2	1	3	3	1	2	2	1	1	13	0	1	4	1	3	0	0	1	0	3	1	1	5	1	2	1	4	5	0	0	2	3	1	0	0	0	0	8	8	1	2	3	1	0	0	0	1	2	2	0	1	0	0	0	0	0	2	3	4	2	1	0	1	1	2	4	2	1	0	1	2	4	0	7	0	10	1	5	6	0	0	3	0	1	0	1	0	0	1	3	0	1	0	1	0	2	6	0	1	1	1	0	3	0	0	3	3	1	0	2	0	2	0	0	0	2	1	21	0	0	1	0	2	2	5	1	4	0	0	4	15	4	0	0	1	0	1	0	3	0	0	0	0	0	1	0	1	1	3	0	0	0	0	0	3	4	1	1	6	1	0	5	1	5	0	0	0	1	2	2	3	0	0	2	0	1	1	1	2	1	0	1	9	1	3	0	1	2	0	1	2	0	2	1	0	0	1	2	3	1	2	0	2	0	1	0	1	2	3	2	0	1	1	0	0	4	0	2	3	0	2	2	5	1	1	2	3	0	1	0	3	0	1	0	1	0	0	3	2	0	0	1	0	0	0	3	0	0	0	0	1	1	0	1	1	1	0	1	0	1	3	0	0	1	2	3	0	0	2	0	1	1	0	7	1	1	0	1	0	1	0	0	0	0	0	3	1	3	1	0	1	4	1	2	0	0	1	0	0	0	1	0	0	1	0	2	0	0	4	2	2	2	1	0	0	6	1	2	1	0	0	0	1	0	0	1	0	0	0
Web Science and Digital Libraries Research Group	9	36	21	15	27	34	5	36	59	13	32	25	45	40	14	41	34	15	44	13	26	9	46	6	14	48	11	54	30	29	16	21	14	36	23	17	23	8	38	23	15	10	16	9	21	10	11	15	17	21	18	4	16	27	12	10	9	20	36	18	23	31	15	5	36	11	16	10	28	51	13	5	11	37	9	14	5	19	12	28	9	45	47	26	6	7	56	9	3	9	15	11	18	12	8	1	11	5	5	2	7	7	4	12	1	3	13	5	14	36	8	1	11	9	7	8	6	8	3	9	19	2	36	5	29	2	5	20	19	7	16	3	3	17	15	10	5	5	28	16	11	9	3	0	5	8	2	13	6	6	24	21	23	33	140	60	33	56	71	7	10	0	12	1	5	1	1	11	0	171	17	5	2	18	17	11	3	1	3	3	24	12	21	9	1	21	4	5	23	22	6	72	9	9	7	3	0	14	2	877	0	4	4	0	3	16	30	2	16	7	2	8	12	5	5	12	12	8	3	8	7	1	1	8	4	8	4	18	33	55	2	14	2	20	4	6	11	3	3	4	1	0	4	7	3	5	105	8	6	6	6	5	12	0	5	6	3	4	28	6	11	15	20	5	11	14	12	17	13	1	67	10	5	0	11	12	1	3	9	7	8	2	1	6	5	3	1	3	2	3	1	17	33	27	5	2	7	16	3	7	37	33	9	37	1	28	0	12	5	8	6	10	7	7	24	7	10	11	4	3	13	51	5	6	0	13	5	19	3	2	24	6	4	8	2	2	10	2	1	7	7	1	8	3	5	3	3	3	5	4	12	4	1	0	14	0	8	46	17	2	1	3	15	4	2	0	3	6	5	2	14	18	3	4	20	4	30	5	4	2	6	13	2	8	4	7	2	5	13	1	2	7	1	3	5	3	0	15	9	1	2	2	5	1	15	2	4	0	5	2	9	5	20	22	0	6	4	4	3	6	1	2	9	12	37	10	0	8	2	9	2	6	4	1	14	1	3	16	11	11	0	0	5	2	10	2	0	4	2	6	0	14	12	0	1	1	18	8	15	3	3	2	0	1	2	5	0	10	10	6	2	4	3	2	5	6	5	5	3	2	6	3	3	1	3	2	17	4	6	4	4	3	2	2	7	3	8	6	15	3
Online Marketing Report	0	0	0	0	0	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
