USER	FRIENDCOUNT
1	4
2	14
3	24
4	39
5	40
6	40
7	42
8	59
9	64
10	64
11	66
12	68
13	75
14	75
15	76
16	77
17	77
18	80
19	83
20	86
21	89
22	90
23	97
24	100
25	109
26	111
27	115
28	115
29	121
30	125
31	132
32	133
33	135
34	138
35	139
36	140
37	141
38	141
39	142
40	142
41	149
42	153
43	161
44	162
45	170
46	173
47	174
48	179
49	181
50	189
51	195
52	198
53	200
54	205
55	207
56	208
57	211
58	212
59	213
60	213
61	219
62	219
63	220
64	222
65	224
66	225
67	231
68	235
69	240
70	243
71	248
72	249
73	254
74	255
75	258
76	258
77	259
78	264
79	267
80	270
81	270
82	271
83	277
84	282
85	283
86	287
87	297
88	298
89	301
90	303
91	305
92	312
93	322
94	324
95	327
96	337
97	349
98	353
99	353
100	355
101	356
102	358
103	359
104	359
105	364
106	364
107	366
108	367
109	367
110	367
111	371
112	376
113	378
114	382
115	387
116	388
117	391
118	405
119	411
120	412
121	415
122	416
123	417
124	423
125	424
126	433
127	436
128	439
129	446
130	448
131	448
132	455
133	459
134	460
135	468
136	473
137	477
138	479
139	482
140	498
141	504
142	508
143	511
144	515
145	529
146	552
147	559
148	560
149	563
150	574
151	577
152	580
153	583
154	587
155	594
156	598
157	609
158	632
159	636
160	653
161	671
162	675
163	677
164	696
165	735
166	737
167	742
168	774
169	789
170	804
171	808
172	823
173	824
174	831
175	840
176	849
177	900
178	922
179	932
180	952
181	955
182	975
183	993
184	1042
185	1045
186	1060
187	1091
188	1273
189	1375
190	1439
191	1498
192	1638
193	1651
194	2246
195	3508
